Protein,Degree,Degree_Centrality,Betweenness_Centrality,Closeness_Centrality,Eigenvector_Centrality
Q8IZH2,1,5.49E-05,0,0.179190599,3.11E-07
O75643-1,1,5.49E-05,0,0.215372176,2.74E-05
Q6P3S1,1,5.49E-05,0,0.263540562,0.001190582
Q6P4F2,2,0.000109733,1.66E-06,0.258178302,0.001032592
Q6P4H8,1,5.49E-05,0,0.257222254,0.000955609
Q6P4R8,2,0.000109733,5.68E-07,0.199054661,6.32E-06
Q6P587,6,0.0003292,5.96E-06,0.268189764,0.002419792
Q9UJP4,2,0.000109733,1.18E-07,0.231809461,0.000172498
Q6P988,1,5.49E-05,0,0.244292847,0.000551423
Q75QN2,1,5.49E-05,0,0.198340261,1.91E-05
Q6P9F0,2,0.000109733,0.000107752,0.222075426,8.67E-05
Q92731-1,1,5.49E-05,0,0.181116744,1.10E-06
Q6P9F7,1,5.49E-05,0,0.15479555,1.07E-08
Q6PCB8,1,5.49E-05,0,0.167571932,9.99E-08
Q00987-11,1,5.49E-05,0,0.199894659,2.72E-06
Q6PCT2,10,0.000548667,0.000123376,0.271512821,0.002052265
P14719,1,5.49E-05,0,0.212702898,2.60E-05
Q96PC3,1,5.49E-05,0,0.171112506,2.90E-07
Q96PC3-2,1,5.49E-05,0,0.171112506,2.90E-07
Q96ES5,2,0.000109733,7.27E-05,0.233627646,0.000425911
Q8WYR4,1,5.49E-05,0,0.234882903,0.000354564
Q6PGN9,1,5.49E-05,0,0.231849217,0.000173978
Q6PGP7,1,5.49E-05,0,0.202602447,8.77E-06
Q6PHW0,2,0.000109733,0,0.239995887,0.000432118
Q6PID8,1,5.49E-05,0,0.198969021,8.34E-06
Q6PIF6,1,5.49E-05,0,0.174738139,3.48E-07
Q9NSG2,2,0.000109733,1.17E-06,0.225061649,0.000131349
Q6PIZ9,1,5.49E-05,0,0.220647844,3.85E-05
B7Z5W0,1,5.49E-05,0,0.206070975,2.23E-05
Q6NXT4-4,1,5.49E-05,0,0.21942464,8.75E-05
Q96IZ2,2,0.000109733,1.78E-07,0.217820042,3.16E-05
Q9H1M3,1,5.49E-05,0,0.20868935,1.20E-05
Q8IXM3,2,0.000109733,7.54E-07,0.215962382,1.98E-05
