Protein,Degree,Degree_Centrality,Betweenness_Centrality,Closeness_Centrality,Eigenvector_Centrality
Q9HAC8,16,0.000877867,1.42E-05,0.275035429,0.0034521
O43516,18,0.0009876,0.0002718,0.281133542,0.002821514
A0A0S2Z5X4,57,0.0031274,0.000258947,0.306123516,0.026931207
Q8WU02,7,0.000384067,6.83E-06,0.268677687,0.001451901
O00311,33,0.0018106,0.000660038,0.303795098,0.011085517
Q9UBU7,8,0.000438933,8.19E-06,0.268702335,0.001705057
Q9UBU7-1,1,5.49E-05,0,0.23201757,0.000140482
P51114-2,40,0.002194667,0.000210725,0.288921494,0.013077267
Q9UKD1,19,0.001042467,0.00021663,0.286229825,0.004512618
Q9NYA3,50,0.002743334,0.000175355,0.295648512,0.0157598
Q13422-7,52,0.002853067,0.000153161,0.296746797,0.016077742
Q9UKT9,167,0.009162735,0.002078132,0.322937555,0.058368234
Q9H2S9,10,0.000548667,7.92E-06,0.27178996,0.002445055
Q9Y250,116,0.006364534,0.000952022,0.311716251,0.041613776
Q9BTE3,19,0.001042467,0.000196456,0.266328294,0.001056498
Q14140,21,0.0011522,4.68E-05,0.279661662,0.00474857
P55061,69,0.003785801,0.001655994,0.269501738,0.001398543
P14373,321,0.017612202,0.006473041,0.332329926,0.084320447
O94972,41,0.002249534,0.000139829,0.29068493,0.01244216
Q2TAA8,4,0.000219467,5.17E-07,0.258417475,0.001540372
P0CW01,2,0.000109733,8.92E-07,0.234347306,0.000153838
Q9Y6T4,4,0.000219467,1.63E-06,0.254994106,0.000742974
Q96DT7-3,15,0.000823,6.05E-05,0.272274209,0.003762982
Q8NAP8,12,0.0006584,0.00016118,0.280729363,0.003575335
O00322,2,0.000109733,0.000107752,0.183149622,3.25E-07
P35247,3,0.0001646,0.000215493,0.225133728,2.56E-05
P08191,1,5.49E-05,0,0.154360464,4.13E-09
O00327,8,0.000438933,3.85E-05,0.238967907,0.00040462
O15516,4,0.000219467,5.64E-07,0.206642822,2.40E-05
D0VY79,2,0.000109733,6.51E-07,0.22474792,8.63E-05
Q99743,12,0.0006584,0.000103637,0.271278115,0.002349157
O14977,4,0.000219467,3.62E-07,0.214204001,9.03E-05
Q96HY7,3,0.0001646,3.02E-06,0.22313846,8.01E-05
Q99814,16,0.000877867,0.000114148,0.258615222,0.000673192
Q8WVT3,5,0.000274333,1.62E-06,0.219071788,7.60E-05
O00329,4,0.000219467,3.99E-06,0.253885276,0.000546706
P27986,102,0.005596401,0.004761911,0.317224838,0.006904178
P27986-2,47,0.002578734,0.000547889,0.308889142,0.005657685
O00330,4,0.000219467,0.000170472,0.243808199,0.000191465
Q6RW13,137,0.007516734,0.003555604,0.305990264,0.008994094
P09622,5,0.000274333,6.61E-05,0.278108256,0.001248027
Q9Y6E7,3,0.0001646,0.000154508,0.201120838,3.23E-06
O00338,1,5.49E-05,0,0.218326072,1.98E-05
Q9BSI4,49,0.002688467,0.001598068,0.280742816,0.001559531
O00339,3,0.0001646,0.000108016,0.212664289,2.08E-05
O15265,13,0.000713267,0.000387726,0.255253364,0.000546082
O00555,18,0.0009876,0.000867457,0.261279773,0.001091915
O68704,1,5.49E-05,0,0.174807663,2.63E-07
O00358,1,5.49E-05,0,0.21215852,8.14E-06
P19419,8,0.000438933,0.000150396,0.270626426,0.000641715
O00400,1,5.49E-05,0,0.231659731,5.56E-05
O00401,41,0.002249534,0.001287914,0.287960459,0.004231013
Q8IWW6-4,3,0.0001646,3.94E-07,0.236596823,0.00011693
P59998,5,0.000274333,3.39E-06,0.244653341,0.000427004
P60953,43,0.002359267,0.001380748,0.270872529,0.001007162
Q99828,32,0.001755734,0.000360386,0.289521233,0.004882167
Q6XZF7-1,1,5.49E-05,0,0.222666314,5.36E-05
A0A0S2Z4D7,6,0.0003292,3.86E-06,0.257731515,0.001388785
P16333-1,3,0.0001646,1.41E-06,0.233274116,0.000163245
E7ERP6,2,0.000109733,9.98E-08,0.228141123,0.00012139
Q9UNF0,14,0.000768133,0.000107503,0.279301645,0.002397846
Q9UKS6,15,0.000823,3.72E-05,0.267377772,0.001986778
O96013,9,0.0004938,0.000138478,0.280465031,0.001184545
Q13882,30,0.001646,0.000286677,0.299809591,0.006624994
Q9H4E5,22,0.001207067,0.000451995,0.287932151,0.006641045
Q9Y5X1,16,0.000877867,0.000420015,0.261046907,0.000633716
O60504-2,6,0.0003292,8.03E-06,0.24259658,0.000163112
Q15642-2,22,0.001207067,0.000332704,0.289240093,0.003255676
Q8TF42,44,0.002414134,0.000636828,0.304447696,0.010748712
Q8TF74,4,0.000219467,1.02E-05,0.254591453,0.000807429
A6NGB9,1,5.49E-05,0,0.222666314,5.36E-05
P68135,6,0.0003292,2.70E-05,0.259011626,0.000611219
P61157,1,5.49E-05,0,0.222666314,5.36E-05
P0DJ88,3,0.0001646,5.65E-07,0.228782644,0.000102909
Q8X482,2,0.000109733,1.08E-05,0.22281029,5.37E-05
Q8R511,3,0.0001646,4.59E-05,0.226816107,7.19E-05
O00408-1,1,5.49E-05,0,0.169762066,5.64E-08
O00409,1,5.49E-05,0,0.24925805,0.000400631
O00410,9,0.0004938,0.000205175,0.279159672,0.001361223
Q96AP0,25,0.001371667,0.001134046,0.268464258,0.000560487
O95166,41,0.002249534,0.000754287,0.268005716,0.000827005
Q9H0R8,78,0.004279601,0.001978975,0.292362982,0.005584644
P60520,84,0.004608801,0.002028174,0.297601077,0.00586225
Q9GZQ8,67,0.003676067,0.00228714,0.301357069,0.004406077
Q9BXW4,41,0.002249534,0.000560809,0.281498299,0.002327662
P18124,2,0.000109733,2.94E-07,0.225179883,3.07E-05
PRO_0000037576 [P27958],10,0.000548667,0.000201117,0.23964571,5.80E-05
O00411,2,0.000109733,0.000107752,0.216262691,4.42E-05
P52815,23,0.001261934,0.000436274,0.277331442,0.003488786
Q96QE5,1,5.49E-05,0,0.177231679,5.61E-07
O00421,1,5.49E-05,0,0.210544499,2.15E-05
Q8WVX3-2,59,0.003237134,0.000262549,0.268005716,0.001686857
O00422,7,0.000384067,1.89E-05,0.26865715,0.001911956
Q13547,49,0.002688467,0.001283022,0.283651928,0.002542562
Q9H307,8,0.000438933,0.000101004,0.265965537,0.001166484
Q14498-3,14,0.000768133,3.19E-05,0.275596136,0.003061203
O00423,7,0.000384067,3.52E-05,0.254573013,0.000906635
P51114,62,0.003401734,0.000923145,0.30108859,0.014590028
Q9H9L3,2,0.000109733,1.79E-06,0.228274476,4.83E-05
Q9Y266,12,0.0006584,0.000168596,0.250637346,0.000660288
P31948,25,0.001371667,0.000376866,0.28449684,0.001840035
O00425,3,0.0001646,3.22E-06,0.246876994,0.000442291
Q13627,21,0.0011522,0.000366857,0.275561565,0.003118744
Q15365,25,0.001371667,0.000359809,0.271844615,0.003618045
O00429,16,0.000877867,0.000435382,0.267748474,0.000450929
Q9NVI7,3,0.0001646,2.08E-05,0.237913261,0.000195162
Q9NVI7-2,2,0.000109733,0,0.21290905,8.20E-06
Q9Y3D6,23,0.001261934,0.000105221,0.264731544,0.000845178
Q9GZY8,103,0.005651267,0.001525832,0.291229266,0.003834995
Q9NQG6,30,0.001646,0.000342031,0.281255022,0.002397692
Q96C03,30,0.001646,0.000348026,0.283295271,0.002251785
Q9Y512,4,0.000219467,3.55E-06,0.244404962,0.000271443
O00429-3,6,0.0003292,1.47E-05,0.254237874,0.000301397
Q8N7X4,26,0.001426534,0.000662392,0.283099035,0.001710112
O95563,20,0.001097333,0.000297266,0.268513481,0.001351677
P21980-2,17,0.000932733,9.93E-05,0.29342225,0.004892618
O00429-4,1,5.49E-05,0,0.210385706,5.73E-06
O00442,1,5.49E-05,0,0.220994678,3.49E-05
O00444,23,0.001261934,0.000566477,0.282721024,0.003939902
P36575,4,0.000219467,6.58E-06,0.236619122,0.00021534
Q9Y297,42,0.0023044,0.001217721,0.295380174,0.003737351
A6NKD9,1,5.49E-05,0,0.219520571,4.99E-05
O94986,4,0.000219467,3.58E-06,0.223840466,6.90E-05
O94986-3,2,0.000109733,5.44E-07,0.221192167,5.90E-05
Q8TEP8,4,0.000219467,6.10E-06,0.246714101,0.000187408
Q8TEP8-3,1,5.49E-05,0,0.219520571,4.99E-05
P59910,15,0.000823,0.000108568,0.276215561,0.003876201
Q9H8V3,6,0.0003292,2.28E-05,0.240209112,0.00014012
Q14241,49,0.002688467,0.000247046,0.29481528,0.014805188
Q9H4L5,27,0.0014814,0.00026167,0.285611136,0.00766268
P07237,59,0.003237134,0.000882384,0.292781868,0.010048747
Q96R06,52,0.002853067,0.000456436,0.289159188,0.011851072
Q15468,3,0.0001646,7.30E-07,0.230061513,7.90E-05
Q04917,43,0.002359267,0.000691776,0.288992762,0.003323523
O15060,13,0.000713267,3.34E-05,0.276689582,0.004412067
O00459,27,0.0014814,0.000452952,0.305076622,0.007989771
P10275,66,0.0036212,0.001994616,0.291258226,0.002752683
P22681,41,0.002249534,0.001602374,0.304880796,0.004911352
P21860,32,0.001755734,0.000280421,0.286519154,0.002742123
Q13480,39,0.0021398,0.000500978,0.282739218,0.002047963
P08069,22,0.001207067,0.000609286,0.269406715,0.000600122
P10721,50,0.002743334,0.000718436,0.283881026,0.003068818
P19012,133,0.007297268,0.000618777,0.311522855,0.041312392
O76015,81,0.004444201,0.000371412,0.300995767,0.025703725
P08581,59,0.003237134,0.001753563,0.287616425,0.002259463
Q96HT8,54,0.0029628,0.001352836,0.318356922,0.016415166
P42336,11,0.000603533,3.45E-05,0.289287706,0.002750203
P42338,5,0.000274333,4.24E-06,0.269361293,0.000771593
P03496,7,0.000384067,2.48E-05,0.250173514,0.000247446
Q82506,3,0.0001646,3.26E-06,0.237238803,0.000140467
O00463,45,0.002469,0.000757673,0.313132563,0.013807412
Q52MB2,12,0.0006584,8.00E-06,0.280594894,0.00453388
Q96Q77,64,0.003511467,0.000705133,0.299922158,0.013868543
Q16206-2,5,0.000274333,4.10E-06,0.248905018,0.000587902
Q86YM7,26,0.001426534,9.54E-05,0.277471562,0.002962819
Q13287,44,0.002414134,0.00067573,0.278668318,0.003281303
Q5BJF6-2,11,0.000603533,7.37E-06,0.286463109,0.004829283
O14832,24,0.0013168,4.54E-05,0.270997838,0.002731064
O75928-2,54,0.0029628,0.000437274,0.29859721,0.009489921
Q4G0R1,95,0.005212334,0.000564437,0.311578087,0.032415894
P25786,159,0.008723801,0.003396541,0.331796602,0.049618448
P54725,63,0.0034566,0.001064554,0.312042807,0.009531153
P55735,14,0.000768133,0.000802082,0.283126401,0.002004991
P55735-3,5,0.000274333,1.69E-05,0.28273012,0.001979837
P50453,2,0.000109733,5.28E-06,0.237704091,0.000176165
Q07955,16,0.000877867,0.000231837,0.258698976,0.000827449
Q92956,6,0.0003292,0.000140765,0.269361293,0.001526533
Q13114,45,0.002469,0.001094252,0.293564393,0.005430192
Q9Y4K3,59,0.003237134,0.001735249,0.303884402,0.00823575
P62699,10,0.000548667,6.63E-06,0.274605666,0.003210638
Q6FIF0,3,0.0001646,0,0.260953877,0.001241662
Q8N720,168,0.009217601,0.003137328,0.325190386,0.043497778
O00468,4,0.000219467,8.46E-06,0.248331715,0.000826412
Q8N9W6-4,31,0.001700867,8.12E-05,0.281174024,0.00613268
O00470,4,0.000219467,6.92E-06,0.231662784,7.50E-05
P16220,19,0.001042467,0.000539674,0.284046207,0.002004651
P14921,15,0.000823,0.000226287,0.262658259,0.000324461
P40424,15,0.000823,0.000109973,0.269940538,0.003338002
P31314,7,0.000384067,0.000217937,0.229442761,0.000249197
O00471,52,0.002853067,0.001034963,0.307801713,0.010415179
A0AVN2,7,0.000384067,2.71E-06,0.26679326,0.003665516
Q99728,28,0.001536267,0.000209269,0.291988948,0.011609495
P23560-2,47,0.002578734,0.000929973,0.302435789,0.004046651
Q5PSV4,17,0.000932733,3.96E-05,0.279248388,0.005616021
P02511,22,0.001207067,0.000370849,0.288215479,0.004525948
P53674,8,0.000438933,1.61E-05,0.267744395,0.001338333
Q05D60,54,0.0029628,0.00038362,0.310597883,0.018549123
Q3B7T1-5,3,0.0001646,5.31E-07,0.246230158,0.000458272
Q6FHV6,1,5.49E-05,0,0.234347306,0.000132051
Q8TAG9,3,0.0001646,8.79E-08,0.261598696,0.001230928
P02671-2,11,0.000603533,2.59E-05,0.270156321,0.001501567
Q96NE9,30,0.001646,0.00027839,0.285555446,0.007296795
P04406,33,0.0018106,0.001097474,0.307075639,0.005381336
Q8N4P3,14,0.000768133,9.80E-05,0.264241942,0.002243327
Q9NWB7,9,0.0004938,5.63E-05,0.278227136,0.001874108
Q9BQD3,33,0.0018106,0.000333712,0.285787631,0.005711345
P00973,9,0.0004938,2.29E-05,0.267699531,0.00327593
P00973-2,8,0.000438933,1.01E-05,0.267235468,0.00327549
A0A6Q8PF08,152,0.008339734,0.001756221,0.315533231,0.019031939
A0A0S2Z528,7,0.000384067,2.34E-06,0.258695168,0.001676906
Q9ULZ3,11,0.000603533,0.000350294,0.250490875,0.00026462
P61106,4,0.000219467,3.23E-06,0.244878338,0.000308068
P20338,11,0.000603533,0.000161344,0.259221754,0.001549466
P61018,6,0.0003292,2.58E-06,0.253577554,0.000932764
Q96E40,7,0.000384067,4.59E-06,0.265792568,0.005612666
Q96FV9,18,0.0009876,8.27E-05,0.279666112,0.005565149
O14787,43,0.002359267,0.00023735,0.288788557,0.005422012
Q6PF05-3,4,0.000219467,7.78E-07,0.245627892,0.000301999
P83876,5,0.000274333,7.43E-06,0.262258451,0.001364776
O00472,27,0.0014814,0.000202018,0.294360973,0.005924207
Q8TAX5,1,5.49E-05,0,0.226474121,7.51E-05
Q8N2W9,62,0.003401734,0.001014573,0.305787942,0.006561884
P49810,40,0.002194667,0.000153262,0.290094731,0.003269957
O00478,1,5.49E-05,0,0.200186117,6.96E-06
O00481,5,0.000274333,0.000114917,0.251444211,0.000548847
P78410,3,0.0001646,6.38E-06,0.250430193,0.000340424
O60437,42,0.0023044,0.000562701,0.300763958,0.008163263
P04155,11,0.000603533,0.00053085,0.263220832,0.0013519
O00482,6,0.0003292,1.97E-05,0.245336425,0.000171404
O60869,10,0.000548667,0.000261378,0.284658128,0.001772056
Q15596,6,0.0003292,8.07E-06,0.23906543,0.000111821
Q15466,14,0.000768133,0.000107669,0.270264342,0.001101407
Q6P1K8,7,0.000384067,0.000319382,0.256805033,0.000961408
Q92786,5,0.000274333,2.73E-05,0.236903006,0.000166403
O00483,2,0.000109733,2.86E-09,0.221345393,0.000132537
Q92782-2,20,0.001097333,0.000128988,0.28466735,0.004859342
O00487,6,0.0003292,6.85E-05,0.28016546,0.001811091
Q9C005,30,0.001646,0.000517258,0.265427259,0.00105327
P51665,3,0.0001646,9.61E-07,0.274202912,0.001320575
P0DTC5,4,0.000219467,2.63E-06,0.236670107,9.86E-05
O00488,3,0.0001646,9.21E-07,0.275156004,0.002483677
O00499,14,0.000768133,0.000202387,0.254824024,0.000242451
P49418,13,0.000713267,0.000390205,0.270697291,0.000844809
Q9UBW5,2,0.000109733,4.91E-06,0.230248393,5.88E-05
Q9Y2H0,20,0.001097333,0.000292419,0.284741147,0.003850342
P09467,6,0.0003292,5.40E-05,0.275738834,0.001293907
Q13496,6,0.0003292,0.000133314,0.238061511,0.000196395
Q8NFH8,5,0.000274333,0.000124825,0.258942931,0.000476522
Q8TB24,5,0.000274333,7.61E-06,0.242005272,0.000121224
O95219,8,0.000438933,0.000135503,0.250769675,0.000414657
Q13426,18,0.0009876,0.000776994,0.26310261,0.001127794
PRO_0000037551 [Q9WMX2],19,0.001042467,0.000202862,0.279568235,0.002645439
P10636-7,1,5.49E-05,0,0.202322548,3.08E-06
P10636-8,23,0.001261934,0.000234908,0.286495799,0.001739174
Q6UX41-6,4,0.000219467,1.70E-07,0.216076561,3.97E-05
Q9P0B6,42,0.0023044,0.000697725,0.261887174,0.001354925
Q9BT09,12,0.0006584,0.000178011,0.284676572,0.004222958
Q9Y5Q5,4,0.000219467,2.73E-07,0.239071934,0.000223731
P40313,3,0.0001646,2.70E-07,0.238384434,0.000156628
Q8NBI2,21,0.0011522,3.27E-05,0.264771429,0.00103114
P52803,33,0.0018106,0.000308896,0.252851515,0.000818676
P02724,29,0.001591134,0.000545692,0.269142655,0.001062463
P30301,48,0.0026336,0.000154409,0.269928099,0.001545109
Q04941,70,0.003840667,0.000352396,0.282280528,0.002810143
Q96GM1,22,0.001207067,2.10E-05,0.247635363,0.000541706
Q01453,64,0.003511467,0.000552543,0.27566098,0.0017044
P11686,37,0.002030067,0.000207183,0.267797434,0.001249614
Q13326,3,0.0001646,1.42E-06,0.215034858,2.90E-05
Q969S0,36,0.0019752,0.000225682,0.268533996,0.0015944
Q9NV12,49,0.002688467,0.000295064,0.276198196,0.002821497
Q8WZ59,14,0.000768133,3.11E-05,0.26100426,0.001538567
Q9H0R3,37,0.002030067,3.99E-05,0.262968753,0.00152065
O60636,45,0.002469,0.001181329,0.295112323,0.004239198
O95183,76,0.004169867,0.000485984,0.278399031,0.002557214
Q9Y548,34,0.001865467,0.000196754,0.267516156,0.001290322
O00505,48,0.0026336,0.001040404,0.300280885,0.007215461
Q9GZX7,11,0.000603533,0.000133018,0.252935216,0.000357831
B3KTP4,3,0.0001646,1.43E-06,0.261707775,0.002527215
Q15059-2,1,5.49E-05,0,0.229962168,9.15E-05
P46527,36,0.0019752,0.000636393,0.281385619,0.004503131
Q9NR30,13,0.000713267,0.000251509,0.283683979,0.001669891
P19447,20,0.001097333,0.000246012,0.281322557,0.00616787
P02792,20,0.001097333,0.000323087,0.308249822,0.006827499
Q13322-4,24,0.0013168,0.00013245,0.293687041,0.006736213
Q96MH2,50,0.002743334,0.000605492,0.311120257,0.019695867
Q8NA19-2,2,0.000109733,9.65E-07,0.254219486,0.001033732
P45984,63,0.0034566,0.001223059,0.303810854,0.012035714
Q9NZL9,8,0.000438933,1.16E-05,0.262638633,0.001844762
Q9HAN9,18,0.0009876,8.84E-05,0.278769988,0.003026878
P06748,40,0.002194667,0.001363766,0.278042256,0.001237556
Q9UKX7,10,0.000548667,0.000134556,0.252057296,0.000408186
Q9BUI4,44,0.002414134,0.000331538,0.29402608,0.011244066
P43351,13,0.000713267,0.000160247,0.268879113,0.001654996
Q96P16,13,0.000713267,0.000115725,0.281088575,0.003626063
Q8WWX8,1,5.49E-05,0,0.229962168,9.15E-05
Q8WWX8-3,1,5.49E-05,0,0.229962168,9.15E-05
P0DTL5,7,0.000384067,7.63E-06,0.274138752,0.004706009
Q9Y5U2,12,0.0006584,0.000107189,0.289802919,0.005790723
Q2YD98,2,0.000109733,4.27E-07,0.233720859,0.000123549
Q8TBK6,44,0.002414134,0.00028747,0.296281528,0.007468282
Q6PEW1,26,0.001426534,0.000699337,0.297616197,0.003753733
Q9BRL8,2,0.000109733,4.44E-07,0.237649445,0.000133722
K9N643,4,0.000219467,1.64E-06,0.24210529,0.000235316
P03427,4,0.000219467,9.85E-06,0.23996967,0.000122874
Q9Y376,16,0.000877867,0.000504062,0.259946437,0.00170405
Q8IYA8,77,0.004224734,0.000472486,0.310093675,0.028647499
Q9BUL8,21,0.0011522,0.000103333,0.240794964,0.000253785
O43815,12,0.0006584,5.29E-05,0.262387668,0.001328
Q62839,1,5.49E-05,0,0.215588827,5.92E-05
O00512,6,0.0003292,0.000258915,0.247680734,0.000241657
Q9Y3Y4,6,0.0003292,8.17E-05,0.24885215,0.000353079
Q9BRQ0,2,0.000109733,6.23E-07,0.210567204,1.09E-05
P18824,1,5.49E-05,0,0.197793346,3.07E-06
Q9V9W8,1,5.49E-05,0,0.197793346,3.07E-06
O00519,1,5.49E-05,0,0.239786312,0.000743506
O00522,5,0.000274333,0.00013865,0.242908426,0.000197311
Q9BSQ5,9,0.0004938,2.27E-05,0.254289377,0.000846226
Q9BSQ5-1,2,0.000109733,8.09E-07,0.209462918,9.65E-06
Q9ULI3,1,5.49E-05,0,0.19473803,2.50E-06
O14713,8,0.000438933,5.86E-05,0.265651946,0.001059402
P61086,85,0.004663667,0.002358914,0.318443453,0.013646101
Q86Y34,15,0.000823,5.91E-06,0.24449677,0.000356746
Q86WK6,42,0.0023044,0.000297166,0.267658759,0.001758084
P07307-3,40,0.002194667,5.69E-05,0.268583244,0.001021676
O75787,11,0.000603533,3.82E-06,0.236746626,0.000214636
Q6UXG8-3,15,0.000823,5.83E-05,0.249488058,0.000383755
O95471,79,0.004334467,0.000261294,0.271135813,0.002096877
Q9BXN2-6,34,0.001865467,5.08E-05,0.253486114,0.000657636
P12314,28,0.001536267,0.000377331,0.257101835,0.000623057
P12318-2,11,0.000603533,2.72E-06,0.245059317,0.000332637
P55899,6,0.0003292,3.62E-07,0.231415689,0.000234461
Q99795,9,0.0004938,2.67E-05,0.233063748,0.000143541
P05981,3,0.0001646,6.33E-08,0.219998733,4.72E-05
Q9NQX7-3,5,0.000274333,4.13E-07,0.229796784,0.000104467
Q8N743,25,0.001371667,2.81E-05,0.252361338,0.000806387
Q9H400,47,0.002578734,0.000317688,0.278341709,0.001869572
A1A5C7-2,10,0.000548667,1.54E-05,0.249984905,0.000900476
Q0VAQ4,37,0.002030067,0.000237118,0.264771429,0.001128095
Q8TAV4,7,0.000384067,1.19E-06,0.240679542,0.000297892
O43557,25,0.001371667,0.00038002,0.256913906,0.000651666
Q8WWF5,4,0.000219467,3.59E-05,0.23064728,0.000195469
O00541,5,0.000274333,0.000103038,0.278765566,0.001749012
Q14137,2,0.000109733,0,0.219833615,3.00E-05
Q08050,14,0.000768133,0.000137367,0.261174932,0.001072456
Q9GZL7,5,0.000274333,2.34E-05,0.253204893,0.000615307
Q8IZP0,48,0.0026336,0.000887753,0.293549682,0.00752676
O94910,1,5.49E-05,0,0.206371042,1.38E-05
Q86SJ2,2,0.000109733,3.81E-06,0.218149913,2.59E-05
Q7Z5H3,3,0.0001646,7.70E-06,0.237325305,0.000353726
O75953,3,0.0001646,4.39E-06,0.221465336,3.07E-05
P15822,3,0.0001646,0.000346534,0.25666626,0.000629152
Q8N2S1,2,0.000109733,2.63E-07,0.212659142,2.08E-05
O75095,2,0.000109733,2.63E-07,0.212659142,2.08E-05
Q7Z7M0,2,0.000109733,2.63E-07,0.212659142,2.08E-05
Q9UHX1,35,0.001920334,0.000742419,0.298937518,0.004205743
Q8IXT5,1,5.49E-05,0,0.206371042,1.38E-05
O95153,2,0.000109733,4.53E-07,0.206881218,1.47E-05
Q9BVA1,1,5.49E-05,0,0.206371042,1.38E-05
P22695,5,0.000274333,9.78E-06,0.252111536,0.000599612
P49750,2,0.000109733,8.18E-06,0.237562707,9.27E-05
O00559,28,0.001536267,5.84E-05,0.259290597,0.000863146
Q9ULC5,12,0.0006584,1.54E-05,0.246368233,0.000436389
Q12983,62,0.003401734,0.000489227,0.271119081,0.001674425
Q9BXR6,24,0.0013168,0.000457947,0.248163393,0.000657452
Q9H5X1,27,0.0014814,0.000375062,0.261571441,0.000793625
Q6UXB4,10,0.000548667,4.31E-05,0.250002686,0.000280768
A0A0C4DFN3,19,0.001042467,8.65E-05,0.278108256,0.002137279
Q8NH19,6,0.0003292,3.65E-07,0.239453058,0.000198666
Q9Y5Y5,27,0.0014814,0.000310079,0.268957298,0.001201446
O60831,26,0.001426534,0.000189986,0.264871194,0.000951407
Q96HR9-2,45,0.002469,0.000795666,0.306465172,0.007243454
P78382,37,0.002030067,4.98E-05,0.257478519,0.001138748
Q13277,39,0.0021398,8.64E-05,0.267711765,0.001625796
Q6UX40,44,0.002414134,0.000152172,0.262223233,0.00133886
Q6ZUI0,19,0.001042467,3.12E-05,0.256542616,0.000745478
Q9P0L0,50,0.002743334,0.001115824,0.281629122,0.00140556
Q7Z3H0-1,10,0.000548667,2.93E-05,0.279084307,0.002516228
Q8N2N9-4,15,0.000823,1.41E-05,0.284588982,0.004328258
Q6AI12,9,0.0004938,9.74E-05,0.273903755,0.001501812
Q92688,16,0.000877867,7.81E-05,0.285555446,0.004038852
Q96GX9,15,0.000823,0.00010295,0.286183214,0.004707138
Q15041,77,0.004224734,0.001787524,0.3013364,0.00598953
Q5TBC7,11,0.000603533,6.76E-05,0.279368245,0.003490858
Q8N7W2-2,62,0.003401734,0.000354466,0.30380035,0.013820679
Q9H3H3,12,0.0006584,2.10E-05,0.280644184,0.003137562
Q9H3H3-3,9,0.0004938,1.02E-05,0.273460497,0.001803533
O14523,39,0.0021398,0.000148386,0.278280004,0.001911543
A2RRN7,31,0.001700867,0.000124331,0.293412452,0.011267177
Q9ULU8-4,3,0.0001646,2.47E-07,0.267012152,0.001327169
P51636,3,0.0001646,1.79E-05,0.27144572,0.000745884
O75828,4,0.000219467,0.000108303,0.260880275,0.000960137
Q9BWC9,17,0.000932733,0.000112621,0.286860565,0.003698511
P32320,17,0.000932733,4.64E-05,0.291732052,0.006799409
P49427,5,0.000274333,2.15E-05,0.278694834,0.002084153
Q9H5V8,3,0.0001646,6.22E-07,0.267101434,0.000885813
Q6P2H3-3,5,0.000274333,3.13E-06,0.280958255,0.003225644
Q9UFW8,17,0.000932733,4.39E-05,0.293534973,0.006153
Q9HD42,19,0.001042467,0.000183265,0.298298177,0.004272113
P49760,53,0.002907934,0.000811097,0.293967061,0.007364604
P49761,40,0.002194667,0.000671353,0.29592232,0.005286922
Q96DZ9,134,0.007352134,0.003611795,0.311743899,0.009337164
P13073,4,0.000219467,0.0003188,0.266663715,0.001021036
Q86WV2,9,0.0004938,2.64E-05,0.29590239,0.003843366
P02489,133,0.007297268,0.001736897,0.316004151,0.020390469
Q5HYN5,20,0.001097333,5.49E-05,0.284478419,0.003788168
P0DMU9,4,0.000219467,2.10E-06,0.267777032,0.001211228
Q8NHU0,3,0.0001646,2.01E-06,0.267146097,0.001163193
Q6NSH3,2,0.000109733,1.02E-06,0.259635363,0.000685648
Q9GZU7,36,0.0019752,0.000239401,0.288598857,0.007736917
Q9NTM9,13,0.000713267,0.000113357,0.29937547,0.006403781
Q9H773,7,0.000384067,3.15E-05,0.284184004,0.004211363
Q96Q80,16,0.000877867,0.000196811,0.27021863,0.00111279
Q14565,15,0.000823,0.000121967,0.28795574,0.004849561
P50570,145,0.007955668,0.002840583,0.31627144,0.015488937
Q14919,17,0.000932733,0.000225248,0.289497386,0.005272943
P63172,35,0.001920334,0.000989509,0.292820895,0.006567582
Q9GZV4,6,0.0003292,4.01E-06,0.273954993,0.002136848
Q15717,4,0.000219467,1.13E-05,0.278783255,0.001677863
Q9NT22,8,0.000438933,5.63E-06,0.277747836,0.00312443
Q8TC92,7,0.000384067,2.12E-05,0.274331322,0.002241077
Q96C92-2,4,0.000219467,1.25E-06,0.266590902,0.001367419
A1L162,5,0.000274333,0.000114022,0.284579765,0.001885944
Q9NPD3,9,0.0004938,0.000158119,0.272383931,0.001937916
Q13158,25,0.001371667,0.000537455,0.288253298,0.00266568
Q8NFF5,14,0.000768133,6.69E-05,0.28245293,0.003522321
O15409,15,0.000823,0.000113145,0.286823111,0.005794794
Q6NZ44,3,0.0001646,4.54E-07,0.269729239,0.001621147
Q7L5D6,14,0.000768133,0.000557865,0.281760066,0.004326927
Q5VSY0,14,0.000768133,0.0001224,0.279159672,0.004283171
Q9Y3E0,11,0.000603533,0.000112603,0.276241611,0.001456675
Q8N954,5,0.000274333,5.44E-05,0.269998599,0.001681895
Q8N954-2,4,0.000219467,9.67E-06,0.269171512,0.001679882
Q2KHT4-3,7,0.000384067,4.99E-06,0.26677706,0.001167911
V9HW60,5,0.000274333,1.35E-06,0.277752226,0.003919113
V9HW40,1,5.49E-05,0,0.258725636,0.000628187
Q5VTY9,1,5.49E-05,0,0.258725636,0.000628187
O15347,6,0.0003292,4.13E-05,0.275994328,0.00228048
Q9NSC5,96,0.005267201,0.00227277,0.317396717,0.023128457
Q8IX15-3,29,0.001591134,0.000197067,0.29490433,0.007253752
