AAC_E,AAC_Q,AAC_K,AAC_M,AAC_V,AAC_G,AAC_D,AAC_I,AAC_N,GO_Essential_Score,Degree_Centrality,Betweenness_Centrality,Eigenvector_Centrality,Instability_Index,Net_Charge_pH7,AAC_P,AAC_S,AAC_W,TARGET
8.215962441,5.046948357,5.985915493,1.76056338,7.042253521,7.746478873,3.755868545,3.755868545,3.638497653,2.0,0.0062548008339734,0.0029031470825603,0.0232905890047919,40.23532864,-7.120902779,7.629107981,6.220657277,1.056338028,0
4.783808648,6.991720331,5.243790248,1.379944802,6.43974241,7.083716651,4.875804968,3.495860166,3.219871205,4.0,0.0002743333699111,1.2235998193021342e-05,6.893315921320623e-05,43.95722171,17.06189204,6.53173873,6.53173873,2.391904324,0
5.985037406,3.366583541,3.117206983,1.620947631,7.2319202,8.229426434,4.862842893,3.117206983,2.493765586,2.0,0.0001646000219466,4.775825359324433e-06,2.96107135600748e-05,47.03129676,-5.612117206,7.605985037,8.97755611,1.620947631,1
10.13986014,4.895104895,3.846153846,2.097902098,8.041958042,6.293706294,7.692307692,4.895104895,4.545454545,0.0,0.0001646000219466,3.865060002061052e-06,9.12140536567586e-06,56.63744755,-24.31821672,6.293706294,4.895104895,0.34965035,0
9.018987342,3.85021097,2.426160338,0.738396624,10.33755274,8.702531646,4.957805907,2.426160338,1.002109705,2.0,0.0001097333479644,6.758877073153175e-07,8.466478867761298e-06,50.52863924,-59.64607577,7.225738397,5.5907173,1.424050633,0
5.678537055,5.967276227,2.309913378,1.25120308,8.662175168,8.85466795,4.908565929,2.791145332,3.561116458,0.0,0.0001097333479644,0.0,0.0001335979455808,45.98586141,-30.51693349,7.314725698,7.218479307,1.924927815,0
6.627680312,4.288499025,3.898635478,3.313840156,6.822612086,7.797270955,5.653021442,7.602339181,4.093567251,4.0,0.0007681334357511,1.0538579430968695e-05,0.00500261290863,32.86278752,-11.60642562,5.653021442,5.068226121,0.194931774,1
1.886792453,4.716981132,4.716981132,3.773584906,7.547169811,5.660377358,1.886792453,3.773584906,4.716981132,2.0,5.48666739822232e-05,0.0,1.0143535309969828e-07,39.89433962,10.72004573,5.660377358,7.547169811,0.0,1
6.773399015,3.633004926,0.738916256,0.615763547,5.295566502,10.65270936,5.357142857,1.293103448,2.586206897,0.0,0.0001097333479644,2.6320219610730134e-07,2.076046211790039e-05,65.34753695,-45.85772254,12.37684729,7.019704433,0.615763547,0
6.150341686,4.897494305,1.480637813,0.911161731,5.580865604,8.086560364,3.758542141,0.569476082,0.683371298,0.0,0.0002194666959288,0.0002160271165765,0.0002390075274759,53.00058087,-17.71468211,9.111617312,4.897494305,1.480637813,0
