AAC_E,AAC_Q,AAC_K,AAC_M,AAC_V,AAC_G,AAC_D,AAC_I,AAC_N,GO_Essential_Score,Degree_Centrality,Betweenness_Centrality,Eigenvector_Centrality,Instability_Index,Net_Charge_pH7,AAC_P,AAC_S,AAC_W,TARGET
11.22881356,4.872881356,9.745762712,2.330508475,4.025423729,4.661016949,4.661016949,3.601694915,5.720338983,4.0,0.0001646000219466,1.4491974172795078e-06,2.764007511137499e-05,34.74029661,-4.284345116,2.754237288,5.508474576,1.271186441,0
9.523809524,6.12244898,9.523809524,7.482993197,1.360544218,5.442176871,2.040816327,7.482993197,2.040816327,2.0,0.0001097333479644,1.0260828118776072e-07,1.1140385153330892e-05,37.39319728,5.524991421,2.721088435,6.802721088,0.680272109,0
5.985037406,3.366583541,3.117206983,1.620947631,7.2319202,8.229426434,4.862842893,3.117206983,2.493765586,2.0,0.0001646000219466,4.775825359324433e-06,2.96107135600748e-05,47.03129676,-5.612117206,7.605985037,8.97755611,1.620947631,1
11.6751269,3.553299492,8.629441624,3.553299492,5.583756345,6.598984772,4.568527919,3.553299492,3.553299492,2.0,0.0,0.0,0.0,56.88020305,-9.203237273,10.15228426,2.538071066,0.0,0
5.841924399,3.436426117,2.920962199,1.890034364,5.841924399,9.793814433,5.154639175,2.920962199,1.890034364,2.0,0.0002194666959288,8.006209126584594e-07,0.0002187684348046,57.27061856,-5.774166917,10.82474227,6.872852234,1.374570447,0
7.372400756,4.536862004,1.701323251,1.701323251,6.616257089,10.01890359,4.914933837,5.671077505,2.457466919,2.0,5.48666739822232e-05,0.0,6.746933400898031e-06,56.40268431,-18.94240532,6.616257089,6.994328922,0.756143667,0
6.627680312,4.288499025,3.898635478,3.313840156,6.822612086,7.797270955,5.653021442,7.602339181,4.093567251,4.0,0.0007681334357511,1.0538579430968695e-05,0.00500261290863,32.86278752,-11.60642562,5.653021442,5.068226121,0.194931774,1
1.886792453,4.716981132,4.716981132,3.773584906,7.547169811,5.660377358,1.886792453,3.773584906,4.716981132,2.0,5.48666739822232e-05,0.0,1.0143535309969828e-07,39.89433962,10.72004573,5.660377358,7.547169811,0.0,1
8.910891089,4.95049505,4.95049505,0.99009901,5.940594059,9.900990099,7.920792079,7.920792079,2.97029703,4.0,0.0002194666959288,0.0001084331523599,9.26169910197146e-05,37.6009901,-8.297070696,4.95049505,3.96039604,2.97029703,0
2.222222222,2.777777778,4.444444444,3.611111111,6.388888889,3.333333333,3.333333333,9.722222222,5.0,0.0,0.0,0.0,0.0,37.86808333,11.32447169,4.444444444,8.333333333,0.0,0
10.52631579,6.140350877,7.01754386,1.754385965,5.263157895,6.140350877,3.50877193,5.263157895,7.01754386,4.0,0.0,0.0,0.0,49.87368421,-2.474483737,6.140350877,6.140350877,0.877192982,1
